exchange_symbol,close_price,highest_price,lowest_price,transactions,weighted_average,date
X:BTCJPY,5027421.0,5209789.0,4983982.0,30,5081990.5369,2022-04-29
X:UDCUSD,1.0001,1.0003,1.0,941,1.0001,2022-04-29
X:ETPUSD,0.08579,0.08792,0.08579,246,0.0861,2022-04-29
X:TSDUSD,1.0005,1.001,1.0003,64,1.0006,2022-04-29
X:HMTUSD,0.32633,0.32827,0.3262,277,0.3268,2022-04-29
X:ALBTUSD,0.17934,0.19464,0.17358,31,0.1804,2022-04-29
X:XRPAUD,0.85506,0.91185,0.85454,67,0.8971,2022-04-29
X:XRPBTC,1.58e-05,1.625e-05,1.567e-05,430,-999.0,2022-04-29
X:TLOSUSD,0.677,0.69068,0.67159,91,0.6802,2022-04-29
X:DATUSD,0.06491,0.0699,0.06332,53,0.0653,2022-04-29
X:QTFUSD,11.879,12.119,11.879,83,11.9909,2022-04-29
X:WAXUSD,0.23647,0.25107,0.23647,67,0.2444,2022-04-29
X:FTTUSD,38.681,39.975,38.681,8,39.0927,2022-04-29
X:LTCAUD,140.01,145.05,139.42,17,143.9269,2022-04-29
X:FUNUSD,0.010387,0.010673,0.010387,6,0.0104,2022-04-29
X:EDOUSD,0.45341,0.47725,0.42,37,0.4333,2022-04-29
X:PLANETSUSD,0.041504,0.048672,0.040759,120,0.0435,2022-04-29
X:LYMUSD,0.00466,0.0047967,0.00466,2,0.0047,2022-04-29
X:DVFUSD,4.1928,4.2435,4.1752,68,4.203,2022-04-29
X:BCHABCUSD,7.457e-05,8.101e-05,7.35e-05,531,0.0001,2022-04-29
X:THETAUSD,2.5553,2.7942,2.4828,860,2.546,2022-04-29
X:BTTUSD,1.71e-06,1.78e-06,1.69e-06,592,-999.0,2022-04-29
